-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.117,  0.313
-183.797, 80.186, 0.224,  0.346
-183.793, 80.174, 0.333,  0.379
-183.787, 80.160, 0.409,  0.412
-183.778, 80.144, 0.493,  0.445
-183.767, 80.124, 0.634,  0.478
-183.751, 80.100, 0.739,  0.511
-183.732, 80.071, 0.901,  0.544
-183.712, 80.037, 1.081,  0.577
-183.690, 79.997, 1.267,  0.610
-183.667, 79.951, 1.452,  0.643
-183.643, 79.900, 1.633,  0.676
-183.619, 79.843, 1.792,  0.709
-183.594, 79.783, 1.920,  0.742
-183.570, 79.719, 1.996,  0.775
-183.546, 79.655, 2.032,  0.808
-183.522, 79.591, 2.041,  0.841
-183.498, 79.527, 2.031,  0.874
-183.475, 79.464, 2.007,  0.907
-183.452, 79.403, 1.972,  0.940
-183.429, 79.343, 1.930,  0.973
-183.406, 79.284, 1.882,  1.006
-183.384, 79.227, 1.831,  1.039
-183.362, 79.172, 1.777,  1.072
-183.341, 79.118, 1.722,  1.105
-183.320, 79.067, 1.641,  1.138
-183.299, 79.018, 1.577,  1.171
-183.279, 78.971, 1.528,  1.204
-183.259, 78.926, 1.490,  1.237
-183.239, 78.880, 1.466,  1.270
-183.219, 78.836, 1.458,  1.303
-183.199, 78.791, 1.470,  1.336
-183.179, 78.744, 1.504,  1.369
-183.158, 78.697, 1.557,  1.402
-183.136, 78.647, 1.625,  1.435
-183.114, 78.594, 1.704,  1.468
-183.091, 78.539, 1.788,  1.501
-183.068, 78.480, 1.873,  1.534
-183.045, 78.420, 1.946,  1.567
-183.022, 78.357, 1.984,  1.600
-182.999, 78.295, 1.995,  1.633
-182.976, 78.233, 1.986,  1.666
-182.954, 78.171, 1.963,  1.699
-182.933, 78.110, 1.929,  1.732
